Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атаманчук,Борис,Олегович,Чоловік,1998-03-04,Каскадер,селище Обухів,"площа Юннатів 3-й, буд. 7 кв. 282, Миргород, 53238",237 74 02,klyment15@example.org
Карпенко,Валентин,Федорович,Чоловік,1979-04-24,Мікробіолог,хутір Кіцмань,"провулок Дачний 1-й, буд. 200 кв. 372, Ямпіль, 95992",+380 (08) 496-69-95,danzaiets@example.net
Якименко,Микита,Андрійович,Чоловік,1949-03-06,Громадський діяч,селище Українка ,"провулок Леонтовича, буд. 231, Камінь-Каширський, 70278",+380 59 401-16-77,snizhanadziuba@example.net
Іщенко,Ярема,Сергійович,Чоловік,1958-12-26,Лікар,село Почаїв,"шосе Цебриківська, буд. 8 кв. 13, Хорол , 03857",352 11 93,derehusherman@example.com
Калениченко,Ілля,Дмитрович,Чоловік,1989-10-04,Кіноактор,хутір Рожище,"вулиця Красний, буд. 027 кв. 96, П'ятихатки, 72515",+380 60 075-49-08,chmilbohdanna@example.org
Титаренко,Болеслав,Романович,Чоловік,1991-12-27,Краєзнавець,хутір Олевськ,"парк Магнітогорський 3-й, буд. 252, Славутич, 85552",+380 86 414 12 21,iaroslavtovstukha@example.net
Товстоліс,Лукʼян,Вікторович,Чоловік,2001-02-18,Диригент,селище Волочиськ,"проспект Успенська, буд. 26, Географія Вільнянська, 02355",+380 83 730 26 84,bazylevychliza@example.org
Вдовенко,Арсен,Петрович,Чоловік,1966-10-08,Хореограф,хутір Тростянець,"шосе Львівський, буд. 684, Ірміно, 47518",+380 (87) 555-21-19,abramchuklukian@example.org
Смик,Степан,Євгенович,Чоловік,1983-07-13,Шериф,хутір Алушта,"проспект Мічуріна, буд. 7 кв. 9, Хрустальний, 45404",+380 (82) 749-17-56,qaleksandrenko@example.com
Приймак,Ярема,Євгенович,Чоловік,1991-02-12,Клоун,місто Луцьк,"узвіз Дунаєвського, буд. 8 кв. 2, Бровари, 71699",+380 62 681-43-77,valentyna42@example.net
Гречко,Йосип,Миколайович,Чоловік,1975-12-19,Музичний редактор,село Семенівка,"вулиця Олександра Кутузакія, буд. 99, Долина , 16194",+380 (31) 422-49-88,bazylevychiakiv@example.com
Аверченко,Онисим,Володимирович,Чоловік,1995-06-16,Економіст,хутір Червоносів,"провулок 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 65, Тиврів, 69840",+380 73 434-39-53,khorishkofeofan@example.net
